origin,destination,time,distance
Blockhouse Bay/New Windsor,Greenhithe/Unsworth Heights,4591.0,29.461
Blockhouse Bay/New Windsor,Grey Lynn/Arch Hill,1446.0,9.313
Blockhouse Bay/New Windsor,Gulf Harbour,10726.0,70.297
Blockhouse Bay/New Windsor,Half Moon Bay/Farm Cove,3267.0,22.266
Blockhouse Bay/New Windsor,Henderson,1647.0,11.035
Blockhouse Bay/New Windsor,Herne Bay/St Marys,1647.0,10.741
Blockhouse Bay/New Windsor,Highland Park,3493.0,23.779
Blockhouse Bay/New Windsor,Hillcrest/Northcote,5494.0,35.493
Blockhouse Bay/New Windsor,Hillsborough,1229.0,7.51
Blockhouse Bay/New Windsor,Howick,3899.0,26.369
Blockhouse Bay/New Windsor,Kelston,784.0,5.182
Blockhouse Bay/New Windsor,Kingsland,1181.0,7.574
Blockhouse Bay/New Windsor,Kohimarama,3391.0,21.156
Blockhouse Bay/New Windsor,Lynfield,545.0,3.494
Blockhouse Bay/New Windsor,Mangere,2448.0,15.802
Blockhouse Bay/New Windsor,Mangere Bridge/Airport,2183.0,14.089
Blockhouse Bay/New Windsor,Mangere East,2788.0,18.138
Blockhouse Bay/New Windsor,Manukau Central,3684.0,24.313
Blockhouse Bay/New Windsor,Manukau Heights and Manurewa Heights,4084.0,26.57
Blockhouse Bay/New Windsor,Manurewa North,4251.0,28.096
Blockhouse Bay/New Windsor,Maraetai/Clevedon,5867.0,37.664
Blockhouse Bay/New Windsor,Massey/Royal Heights,2040.0,13.462
Blockhouse Bay/New Windsor,Meadowbank,2389.0,15.811
Blockhouse Bay/New Windsor,Mission Bay/Orakei,3080.0,19.056
Blockhouse Bay/New Windsor,Mt Albert/Owairaka,728.0,4.398
Blockhouse Bay/New Windsor,Mt Eden,1328.0,8.551
Blockhouse Bay/New Windsor,Mt Roskill/Wesley,740.0,4.654
Blockhouse Bay/New Windsor,Mt Wellington,2396.0,15.999
Blockhouse Bay/New Windsor,Mt Wellington North,2403.0,16.051
Blockhouse Bay/New Windsor,New Lynn,526.0,3.628
Blockhouse Bay/New Windsor,Newmarket,1804.0,11.655
Blockhouse Bay/New Windsor,Newton/Grafton,1677.0,10.234
Blockhouse Bay/New Windsor,North Harbour/Pine Hill,5573.0,35.827
Blockhouse Bay/New Windsor,Onehunga/Oranga/Te Papapa,1562.0,10.098
Blockhouse Bay/New Windsor,Orewa/Whangaparaoa,,
Blockhouse Bay/New Windsor,Otahuhu,2682.0,17.586
Blockhouse Bay/New Windsor,Otara,3407.0,22.631
Blockhouse Bay/New Windsor,Pakuranga,3054.0,20.677
Blockhouse Bay/New Windsor,Panmure,2641.0,17.89
Blockhouse Bay/New Windsor,Papakura/Drury/Karaka,5238.0,35.298
Blockhouse Bay/New Windsor,Papatoetoe North,3104.0,20.542
Blockhouse Bay/New Windsor,Papatoetoe South,3339.0,21.947
Blockhouse Bay/New Windsor,Papatoetoe West,3081.0,20.252
Blockhouse Bay/New Windsor,Parnell,1917.0,12.801
Blockhouse Bay/New Windsor,Penrose/Mt Wellington South,2478.0,16.206
Blockhouse Bay/New Windsor,Ponsonby/Freemans Bay,1647.0,10.734
Blockhouse Bay/New Windsor,Pt Chevalier,979.0,6.395
Blockhouse Bay/New Windsor,Pukekohe/Tuakau,9075.0,60.365
Blockhouse Bay/New Windsor,Ranui,2450.0,16.012
Blockhouse Bay/New Windsor,Remuera,2101.0,13.751
Blockhouse Bay/New Windsor,Remuera South/Meadowbank South,2283.0,14.812
Blockhouse Bay/New Windsor,Rewiti/Kumeu/Riverhead,4449.0,28.258
Blockhouse Bay/New Windsor,Rothesay/Murrays/Mairangi Bays,5734.0,37.216
Blockhouse Bay/New Windsor,Royal Oak/One Tree Hill,1706.0,10.418
Blockhouse Bay/New Windsor,Rural Franklin,9546.0,63.486
Blockhouse Bay/New Windsor,St Helliers/Glendowie,3649.0,22.779
Blockhouse Bay/New Windsor,St Johns,2626.0,17.016
Blockhouse Bay/New Windsor,St Lukes/Sandringham,921.0,5.934
Blockhouse Bay/New Windsor,Sunnynook/Westlake,5427.0,35.194
Blockhouse Bay/New Windsor,Takanini/Ardmore,5046.0,33.433
Blockhouse Bay/New Windsor,Takapuna,5948.0,38.717
Blockhouse Bay/New Windsor,Te Atatu,1771.0,11.635
Blockhouse Bay/New Windsor,Te Atatu Peninsula,2028.0,13.308
Blockhouse Bay/New Windsor,Three Kings,1002.0,6.462
Blockhouse Bay/New Windsor,Titirangi,1250.0,7.056
Blockhouse Bay/New Windsor,Torbay,6193.0,40.294
Blockhouse Bay/New Windsor,Waiheke Island,6646.0,46.23
Blockhouse Bay/New Windsor,Wairau Park/Glenfield North,5042.0,32.443
Blockhouse Bay/New Windsor,Waiuku,12205.0,81.265
Blockhouse Bay/New Windsor,Waterview/Avondale Heights,569.0,3.692
Blockhouse Bay/New Windsor,Wattle Downs/Conifer Grove,4594.0,30.307
Blockhouse Bay/New Windsor,Wellsford/Warkworth/Helensville,,
Blockhouse Bay/New Windsor,West Harbour,3214.0,21.054
Blockhouse Bay/New Windsor,Western Beaches/Rural,4509.0,24.739
Blockhouse Bay/New Windsor,Western Springs/Morningside,967.0,6.39
Blockhouse Bay/New Windsor,Westmere/Surrey Crescent,1360.0,8.906
Blockhouse Bay/New Windsor,Weymouth,4210.0,27.537
Botony Downs,Albany,8356.0,55.351
Botony Downs,Avondale,3776.0,25.889
Botony Downs,Balmoral,2814.0,19.049
Botony Downs,Beachhaven/Birkdale,8452.0,55.468
Botony Downs,Blockhouse Bay/New Windsor,3800.0,25.597
Botony Downs,Botony Downs,0.0,0.0
Botony Downs,Browns Bay,8660.0,57.095
Botony Downs,Bucklands Beach,1027.0,7.06
Botony Downs,Central East,3196.0,21.135
Botony Downs,Central West,3231.0,21.413
Botony Downs,Chatswood/Birkenhead/Northcote Point,8572.0,56.071
Botony Downs,Dannemora,623.0,4.161
Botony Downs,Devonport,9279.0,61.704
Botony Downs,East Coast Bays,8474.0,55.56
Botony Downs,Eden Terrace,2962.0,19.783
Botony Downs,Ellerslie,1887.0,12.777
Botony Downs,Epsom,2544.0,16.969
Botony Downs,Glen Eden,4704.0,31.899
Botony Downs,Glen Innes/Pt England/Wai O Taiki,1727.0,11.897
Botony Downs,Glendene,4635.0,31.496
Botony Downs,Glendhu/Glenfield,8050.0,52.908
Botony Downs,Greenhithe/Unsworth Heights,7416.0,48.69
Botony Downs,Grey Lynn/Arch Hill,3302.0,22.046
Botony Downs,Gulf Harbour,13550.0,89.526
Botony Downs,Half Moon Bay/Farm Cove,728.0,4.996
Botony Downs,Henderson,5090.0,34.234
Botony Downs,Herne Bay/St Marys,3469.0,23.221
Botony Downs,Highland Park,732.0,4.937
Botony Downs,Hillcrest/Northcote,8318.0,54.722
Botony Downs,Hillsborough,3003.0,20.123
Botony Downs,Howick,455.0,2.904
Botony Downs,Kelston,4337.0,29.135
